open,high,low,close,volume
4167.0,4185.0,4122.25,4137.75,2195767.0
4148.0,4197.5,4143.5,4185.75,1904610.0
4184.25,4215.0,4166.75,4212.25,1836212.0
4205.0,4264.75,4191.25,4256.0,2027080.0
4258.5,4339.75,4257.75,4335.75,1819596.0
4327.5,4391.75,4325.5,4376.0,1803552.0
4379.25,4389.5,4364.25,4384.25,1348878.0
4380.0,4403.25,4366.0,4396.0,1371257.0
4397.5,4407.75,4375.0,4399.5,1390288.0
4393.25,4413.0,4357.75,4362.25,1972630.0
4364.5,4435.5,4354.25,4430.5,1752002.0
4425.75,4436.75,4407.25,4425.25,1276182.0
4427.25,4524.25,4420.25,4511.0,1901847.0
4515.5,4541.25,4510.75,4519.25,1573452.0
4514.25,4529.5,4501.75,4523.25,1491734.0
4527.75,4539.5,4512.75,4527.5,1331912.0
4526.75,4571.0,4520.0,4562.25,1220790.0
4561.75,4567.0,4536.75,4551.25,1101669.0
4547.75,4580.5,4543.0,4567.25,1403636.0
4564.0,4572.75,4562.0,4569.5,1403636.0
4564.0,4574.0,4562.0,4568.25,572702.0
4568.5,4570.0,4552.0,4561.0,1124213.0
4561.5,4577.25,4547.0,4563.0,1441119.0
4564.0,4597.0,4555.5,4559.25,1592398.0
4562.25,4579.5,4544.75,4576.75,2056268.0
4571.75,4607.75,4562.5,4600.75,1914151.0
4603.25,4604.5,4553.5,4576.5,1818991.0
4573.0,4585.5,4555.5,4575.0,1890825.0
4573.25,4598.5,4552.0,4556.0,1837961.0
4556.0,4596.0,4548.75,4589.5,1832361.0
4586.5,4613.75,4561.75,4607.5,2289425.0
4607.75,4627.25,4599.5,4626.0,1663229.0
4625.0,4649.75,4610.5,4645.75,1052077.0
4649.0,4711.75,4645.0,4708.25,739684.0
4708.0,4739.25,4694.25,4721.75,560819.0
4716.0,4736.5,4694.27001953125,4694.27001953125,1801823.0
4770.5,4802.25,4769.5,4793.0,1139029.0
4790.5,4821.5,4787.75,4820.25,1122973.0
4818.5,4830.75,4743.25,4749.75,1749145.0
4751.0,4798.25,4751.0,4796.75,1687065.0
4795.75,4821.75,4784.75,4805.25,1326697.0
4800.25,4834.5,4800.25,4825.0,688201.0
4827.75,4836.5,4816.5,4833.5,1042284.0
4834.5,4841.5,4828.0,4832.25,927035.0
4834.75,4841.0,4796.75,4820.0,1281733.0
4818.0,4828.0,4765.5,4787.25,1678142.0
4790.75,4790.75,4741.0,4746.5,1707174.0
4750.0,4766.5,4727.0,4729.5,1395366.0
4732.75,4760.25,4702.0,4734.75,1767245.0
4735.75,4803.25,4715.25,4801.25,1417728.0
4797.75,4804.0,4767.5,4792.75,1369103.0
4790.75,4828.5,4786.0,4820.25,1377780.0
4820.5,4838.0,4772.75,4815.5,1795564.0
4811.25,4836.5,4791.5,4816.5,1519899.0
4812.0,4823.0,4779.5,4798.5,1905532.0
4799.75,4800.75,4746.25,4771.25,1663328.0
4768.0,4817.0,4763.5,4811.25,1746936.0
4811.25,4874.25,4808.5,4869.5,1876757.0
4872.5,4898.25,4872.5,4881.0,1356050.0
4881.75,4902.0,4874.25,4895.0,1130749.0
4900.25,4933.25,4889.0,4898.0,1586824.0
4899.5,4926.5,4893.25,4923.25,1532026.0
4919.25,4934.25,4898.5,4916.25,1363612.0
4908.75,4956.0,4901.75,4954.5,1197989.0
4950.25,4957.25,4933.0,4951.0,1157425.0
4930.25,4938.0,4866.0,4870.5,2285993.0
4874.5,4963.75,4872.5,4928.5,1835510.0
4952.75,4997.75,4925.75,4980.25,1957796.0
4976.0,4980.75,4937.75,4962.0,1504676.0
4959.5,4978.25,4954.5,4974.75,1267419.0
4971.5,5020.0,4970.0,5015.25,1336172.0
5015.75,5020.0,5003.75,5017.75,997431.0
5014.5,5048.5,5013.0,5044.0,1212336.0
5042.5,5066.5,5031.5,5041.25,1141487.0
5034.0,5040.0,4936.5,4971.25,2112726.0
4974.25,5022.5,4968.75,5018.0,1632071.0
5017.5,5051.75,5011.0,5046.5,1361757.0
5049.5,5059.25,5012.75,5019.75,1527729.0
5016.5,5029.5,4968.25,4991.5,1609827.0
